Label,Tweet
2,"USER USER 'Wkwkwkwk tai ociy'\n'ociy kangen sama junev?'\n'jangan jahat sama ka jendeuk'\n\n/ngesend meme/\n\n'ciy, jangan nyebut dia mulu'\n'dasar jomblo'\n'ociy udah move on?'\n\ndah ya hehehe"""
2,"USER sa ingat monyet mana quote ni :')"""
2,USER USER Tenggelam kan kunyuk pengkhianat penghancur bangsa yg satu'a lagi pak URL
2,"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!"""
2,"USER Gembel aja bisa kalau cuma fatwa bigitu. (Tabi')"""
1,"USER Yg terbirit birit tunggang langgang lintang pukang dengar suara adzan itu iblis la'natilloh 'alaih"""
2,"USER USER USER hahaha bener lo USER giliran majikan dia mesum 7 taon si kunyuk mingkem USER sok suci pula ngatain 'mikirin sex' muke lacur lu nyuk.."""
2,"USER Dia ..orang to? Rumongso ku ke'te alias monyet"""
2,"USER Okesip otak bolot gue konfyus :')"""
2,"USER USER Emosi gua sama loey hyung anjir gua dah mikir keras maksud eventnya apa sampe tepelongo bego malah diakhir dia cuma bilang 'ini semua cuma mimpi' anjir emosi pangeran \xf0\x9f\x98\xa9"""
2,"21. Kekuranganmu lebih banyak dari kelebihanmu hehehe. \n\n- Suka ngaret. Kalau balas pesan tuh lamaaa banget. \n- Nyebelin. Suka buat aku hipertensi.\n- Suka ngatain aku yang aneh-aneh. I'm okay : )\n- Ngambekan.\n- Lemot.\n- Bolot.\n- Repeat.\n\nIni dah aku buat pas jadi 288c seneng gak?"""
2,"""Ayo Alex, jangan udik.."" gumamnya merutuki diri sendiri.\n\nIa lanjut menulis, \' Atmosfer di planet ini belum cukup baik untuk ditinggali manusia. \''"
2,"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL"
2,"""brisik"" YA BISTU LO BRISIK JUGA BAHKAN LBH BRISIK BACOT TOLOL ANJING MANUSIA GA TAU DIRI'"
2,"'Cinta tidak harus memiliki' kata org yg tdk prnah dicintai, wakaka kasian bgt yg suka bilang kya gtu. Cinta itu harus memiliki, bego."""
1,"Dari jurus 'Orang Gila Mengebut Lalat,Ajian Tatar Bayu,Jurus Kunyuk Melempar Buah,Dewa Tidur,Pukulan Matahari,Ajian Ngrogoh Sukmo,Hanya Siulan Kapak Naga Geni 212 Yang Bisa Mengalahkan Dewi Siluman Bukit Tunggul\n#wirosableng \n#siapsableng \nUSER \nUSER URL"
2,"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING\n\nArtis peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan\n\n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL"
1,"Even dah setiap hari tengok pon, still tersenyum. You're so cute. \xf0\x9f\x98\x8d"""
1,FIFA siasat isu `suara monyet' aksi Perancis-Russia URL
1,"""Hah?"" Ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya. \n\n""Punten, mas, di deket situ ada anjing saya, enggak?"" URL"
2,"iya, jadi gitu ya monyet, anjing! gua gampar lu lama-lama. kesel jadinya astaghfirullah hal'adzim, gaboleh ngomong kasar, maapin 3x, NGENTOT URL"
1,"Jangan suka pamer.. \nKarena gak ada orang yg benar2 peduli tentang apa yg kau pamer kan. \nBukan pujian yg akan kau dapatkan, melainkan mereka akan mengatakan 'KAMPUNGAN'."""
2,Kalau gini mreka pasti pura2 budek \n\xf0\x9f\x98\x81\n\nKH Ma'ruf: Prabowo Jangan Cuma Bikin Gaduh \xe2\x80\x93 VIVA URL
1,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
1,"""Kau yang mulai maka kau juga yang harus selesaikan."" (3 idiot). #TweetDSAP'"
1,"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'"
2,"Lucunya adalah kak pacar nyadain ini telat bgt guys. Gue rasa pengaruh mecin tuh emang bikin kita slow respon/agak bolot gitu. Dia terbirit-birit nelfon gue pas udah di pintu 1 panik nyariin cemilannya dong -,;\n\n'sayang, ketinggalan cemilanku ada di kita?????'\n\nOrgil \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad"""
2,"'mau crita anjir sedih banget'\n'iya crita aja didengerin kok' \n'iya masa ya.......'\n'LAH SAMA'\n\nujung ujungnya dia yg crita, aku yg dengerin :)"""
2,"Nikmat'a ngentot.... Pi gengen yg hoot"""
1,"""Pengetahuan tidak dapat menggantikan persahabatan. Aku (Patrick) lebih suka jadi idiot daripada kehilanganmu (Spongebob)'"
1,"RT USER: USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah\xe2\x80\xa6"""
1,"RT USER: Di zaman sekarang, orang yang paling 'aman' adalah orang yang buta huruf dan budek, atau wong ndeso sing gak eruh opo-opo\xe2\x80\xa6"""
1,"RT USER: Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
2,"'Sayang sekali punya paras nan cantik kumpul ama cowok gembel, dibawa gembel mau, makanya suka gengsi kalo mau pacaran eh lihat difoto-fotonya ada sama cowok gembel, nonkrong pinggir jalan, apa gamalu yah. \xf0\x9f\x98\x82 percuma cantik kalo otaknya murah. \xf0\x9f\x98\x82"""
1,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82"""
2,"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85"""
2,"""teko o rek!""\n\nmksdnya bukan arek, tapi perek'"
1,"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'"
2,"Udik sambil takjub gituuu...\n\nGileeee, canggih ye mobil sekarang, berasa naek 'kit reder` (Knight Rider starring David Haselhoff) , bisa ngegas dan ngerem sendiri..."""
1,"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though."""
1,#AtongKEPOH Suka gak sama monyet?'
2,#BeritaIslam: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai \xe2\x80\x9cMonyet\xe2\x80\x9d Picu Kecaman Keras URL
2,#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii'
2,#catat!Terimakasih sudah menjadi orang idiot pertama dan terakhir yang membuka hatiku utk mengerti apa itu persahabatan'
1,"#IcanxLove bukan cinta monyet, bukan cinta layaknya remaja lain. perasaan itu bertahan hingga sekarang'"
1,#ICYMI SWAT SFC selamatkan monyet proboscis URL URL
2,#ILCPrabowoMenyerang ilc sukses undang orang gila karena ahok kalah ampe lupa potong kuping gila gila gila gila gila beneran \xf0\x9f\x98\x81'
2,"#ILCPrabowoMenyerang setelah minggu lalu ilc enggak mutu, kini sangat luar biasa karena dpt menghadirkan orang gila tampa kuping\xf0\x9f\x98\xb5'"
1,#Indobet365 #ResultJapan\nKeluaran Togel Japan Hari Rabu 28 Maret 2018\nResult : 9 1 0 3\nShio : Monyet\nURL URL
2,#OpenBoSurabaya USER\nmasih online aja kau\nsempak\nakun tipu2 bangsat\nbajingan kai'
2,"#persijatakutkalahdijakarta\nDasar pLersija, dengkul laler. Banyak alesan lo jakAnjing! Olo olo sia banyak bacot!!!'"
2,#rlp disini banyak yeoja yg fwb ngentot rl &amp; foreplay *cuma ngasih tai'
2,#rlp yeoja tantik culik gw donk bawa ke rumah luh .gw nguntungin lo. tar bisa ngentot spuas nya truz bisa di sembelehin ndiri kok'
2,#TemanMakanTeman Itu ketika ujian dia tdk tahu dan kita memberi tahu tp pas kita tdk tahu dia pura2 budek kalau di panggil USER USER #ReuniZ'
2,#TemanMakanTeman Ketika dia udah janji bakalan ngasi nyontek untuk ujian tp pas giliran ujian dia malah pura2 budek USER USER #ReuniZ'
1,#Tetes Anjing dan Neraka | Oleh: Emha Ainun Nadjib\nURL
2,"*di kantor*\nTV: *nayangin berita driver grab yg ngirim death threat ke cewek tuli*\nBundo: *pake suara kecil* ""Tai, ampe di death threat gitu sial""\n.\n.\n.\n.\n.\nkish, kebiasaan lu ngomong jorok untung lu ngomongnya pake suara yg kecil.....'"
2,"*dimall*. Pak, Mama Aku Hilang. Security Bentar Ya. *cek Cek"" Pengumuman U/ Org Tua Asu. Yg Merasa Kehilangan.'"
2,"// Aduh lucu banget adek kelas gue pas SMA laporan katanya ""bang hari ini kita field trip ke Taman Safari, heran dah (nyebut 1 nama temennya dia) mau arisan ama keluarganya aja bawa 1 sekolahan.""\n\nTai, arisan.'"
2,USER yeah i stalked hahhaa i mmg suka stalk org bodo nak tengok sejauh mana kebodohan dia'
2,"USER #PakcikDahTUA nak apalah kudrat pakcik ni boleh buat setakat pakai kopiah, minta sedekah jual kismis\n\n#PakcikMudaLagi bila pakcik warna rambut kuning bawak duit banyak2 \n\n#KitaOK kan \n\nIni adalah ANJING &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'"
2,USER Barisan banci kamera klo kata ank zaman now mah \xf0\x9f\x98\x80'
2,"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'"
2,USER Udik lu'
2,USER BANGKE TIPONYA PARBET NJIRRR\n\nGAK LIAD GUA CHUW'
2,"USER :"") kasian banget asw'"
2,USER eMANG UDIK BFJGFDG GA NGERTI SAMA BOCAH SATU ITU'
1,USER kucing i kalau terbuka pintu sikit terus panjat pagar \xf0\x9f\x99\x84\xf0\x9f\x99\x84 belajar dr monyet ke apa'
2,"USER anjir lucu banget animasinya :""D dewa'"
2,USER Klo gk mau macet pulng aj lo ke kampung sono.. Dsar orng udik.. Masih nyri makan sma buang tai aj lelaguan... #anakjakartaasikasik'
2,"USER USER USER USER USER USER USER USER USER USER USER \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fbukan ""KAMPRET TAPI KECOA """" yg hidupnya makan TAI semakin besar bikin penyakit , \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Cebong mulia semakin besar BASMI NYAMUK hilangkan penyakit \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9cmakanye kecoa tu ade obat pembasmi KECOA \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
2,USER Haha lancau semua ni babi betul dah la nak sambung kerja'
2,USER Anjirr paypal asu bgt ngena fee nya ke aku'
2,"USER Kampret nih si Jimmy...loe dapet duit dari niru2 ulama, ulama malah loe goblog2in. Loe yg goblog bin Bahlul. Mendingan loe copot tuh atribut2 palsu loe, ganti seragam cebong.....loe bakalan mati sengsara di adzab sama Allah. Aamiin\n Loe liat aje nanti...'"
1,USER Wkwkwkwk.... bukan gila bang.. mikirin kuping dia..'
2,USER Vcs yuk tante kontol gede nih'
2,"USER USER USER USER USER Bukan cuma bangsa, bajingan anjing. Babi goblog. Itu jauh lebih tepat'"
2,"USER USER USER Jdi wowo presidennya tv one, makanya yg diundang slalu pentolan para kampret dan gembel warnet.. Hahaa'"
2,"USER USER USER Kelihatan asbun.. SBY gak pernah dukung jkw tong, demokrat masuk oposisi..waduhh kok tmbh kelihatan ngawur gini gembel warnet yg satu ini.. Hhaaa'"
2,USER Gak kreatif luu kunyuk'
2,USER Ngakak mulu lu kunyuk'
2,USER USER USER USER USER USER twt gw masih udik kayaknya masih perlu dididik lebih keras lagi'
2,USER USER Maaf sebenarnya twiter pertama kali dbuat bukan buat orang bego'
2,USER bukan banci tapi bener-bener banci'
2,USER kaya tai congor jebleh lebar kaya anjing'
2,USER USER Babi la terkejut \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2,USER Ah anjir favorit gue bgt'
2,"USER hahaha.... bikin yg nonton pada ikutan sarap, kyak dadan klo udah main2 gitar...'"
2,USER USER Gw malih rupa dulu ah jd kampret biar di follow USER trus ntar di selimutin. Ee tp jgn di tidurin yaa \xf0\x9f\x98\x86'
2,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'"
2,"USER USER USER Si kunyuk USER dan para penyembahnya yg bilang ahok menista agama? Phuahahaha....bilangin si kunyukk itu, klo mau jd laki2 ya jadilah laki2 yg sempurna yg tdk bermental pecundang.'"
2,"USER woiii kampret!!! gelik gue liat lu,belagu amat jd orang.songong!!! minta di penci jidat lu hah?!!'"
2,USER Enak tuh ngentot sama straight'
2,"USER USER Kecoa cume mlongo nya loe yg suke di got TAI \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c, kyanya kecoa senengnye makan tai mangkanye banyak di septi tank \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
2,USER USER USER Yang juara ngibul kan junjungan kalian wahai bani kampret 212'
2,USER Bajingan emang indosat -_-'
2,USER Apalah kau ini bener2 bangsat bodoh tolol bajingan tengik'
1,USER Si amat emang nggak bodo. Gue bilangin amat nih lo bawa2 nama dia.'
2,USER Babi kaulahhh maju lu sini anjinggg!!'
2,USER USER USER Mampus lu gembel kalah debat kan sama anak kecil. Kelihatan bahwa lu itu kaum cetek. Tau artinya? Kaum yg pikirannya dangkal dan sifatnya memaksakan argumennya diterima padahal bodoh'
2,USER apakah terlihat spt banci? URL
2,USER USER USER USER Titip bogem aja vroh ... Dibiarin ngelunjak tuh kunyuk'
2,USER USER Bangke luh...'
2,USER Minta maap ga ada tampang2 nyesel tuh org..bangke..'
2,"USER USER Bikan Kaya Orang Bego,Bro ?Tapi...Memang,B..EGO.'"
2,"USER Hahaha mcm babi ayat, pandai tak berotak'"
1,USER USER Bencong tu apa'
2,USER DM(di memek)maksudnya ndok'
2,USER Enak tuh kalo muncratnya di dalem memek qm'
2,"USER USER USER USER Emng bego, pake tag gw.'"
2,USER Bacot lu diyem'
1,USER USER okokok'
2,USER Dia sbnernya punya 2 akun pir. Di akun satunya it cerita pendek tapi jelas dan brengsek. Kmren pas aku baca maaih ada 7 crita dan aku baca smuanya skaligus. Tpi skrng udah d unpub smua'
2,"USER Ncib nya lagi jelek, pelcija bagus sih tapi goblog.'"
2,USER USER Goblok permanen....\xf0\x9f\x98\xad'
2,USER USER Tak weh aq bukan yg amek kesah pasal kerajaan pesemua ni buat bodo je as long as aq hidup tenang tanpa beban cukop'
2,USER Mantap memek nya jd croot nih..ooohhhhh lemes'
2,"USER Demi apapun, ah elah gembel banget belom sempet screenshot'"
2,"USER Oh scamming. Ya urus lah bego, orang lu butuh'"
2,USER USER USER Makanya banyak bergaul ya bro bukan digauli ya..wkwkwkw...7 tahun dikhianati coy...#sakitnyaditelor#...mau kencing onta mau tai babi suka suka kau bro..yg penting gak iq200 sekolam la bro...huahuahua...'
2,USER USER USER USER Laknat sama siapa? Tuhan?\nElu doain gue?\n\nDoa org tolol dan buta tak diterima tuhan...masa doain di laknat...mungkin aja cacian dan DISRESPECT org sama elo itu laknatnya tuhan sm elo hahahhahahhah\nKasihan ya org indo..sekolah subsidi..ilmu abal2'
2,USER USER USER USER Eh kunyuk itu yg ngembat dana umroh lu diem aja apa ikut kebagian ya'
2,USER USER USER USER USER BACA MULAI DARI JUDULNYE NYET BIAR GK JADI DOMBA IDIOT!!!'
2,"USER USER USER Pernah denger dulu, sebelum ada rumor itu katanya emang ada yang namanya matthew tapi bukan orang Indonesia. Nah itu dia yang bikin bingung, tiba-tiba muncul nama matthew soeharsono, yang sekolah di sini rumahnya disini. Sampe make foto martin tai kan'"
2,USER USER bukannya dia USER juga tuak..berarti dia BRENGSEK juga ? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94'
2,USER USER USER USER USER USER USER USER Nambah 100 bisa nyewa pecun'
2,USER baca berulang ulang tetep ga ngerti gara gara libur trus jadi goblog lama lama'
2,"USER USER permintaan maaf si kunyuk ini ga ada artinya, otaknya tetep aja nyinyir'"
2,"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'"
2,"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'"
2,USER wkwkwk sompret anjir nasib sama sama buruk gitu? ngakak bangsul'
2,USER USER USER tolol! Die gaada sangku pautnya! Ngapain lu blg pengecut?dasar tolol'
2,USER Sini aku jilatin sayang memek mu'
2,"USER USER USER Awalnya udh tau sih tp gapeka. sampe gini\n""Gara gara shooky jdi burem warna warni gini videonya hahaha"" (ngmng sendiri cem org sarap) :v\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
2,USER USER USER USER USER Kmrn galak2 klo ngomong. Skrg sibuk klarifikasi. Dasar bajingan'
2,USER USER USER USER USER Lagian ni kunyuk knp ributin kawinan anak jokowi yg udah brp bulan y.l\nMake ini mah'
2,"USER USER USER USER USER kunyuk raimu.klo mo bacot ga mikir dlu,percuma lu dduk du dewan?'"
2,USER Manis anjir gakuat gua le'
2,USER Alay tai kyk bocah sd lol'
2,USER bacot bat bgst'
2,USER bacot lo. -jkt'
2,"USER Bodo amatin aja. Yang kaya gitu, makin dikasih perhatian bakal makin menjadi jadi'"
1,"USER Critical Eleven, Posesif, Habibie &amp; Ainun, Laskar Pelangi, Marlina si Pembunuh Dalam Empat Babak, Sekala Niskala, My Idiot Brother, film-filmnya Ernest juga kocak tuh wajib ditonton'"
2,USER Humor anjir qkwk'
2,USER kalo aku: bodo amat-in atau ngelakuin hal2 yg disuka buat nge-distract dari pikiran2 begitu'
2,USER Lagi membela diri sekaligus nyari pembelaan ini tuh? Sekalian carsen juga ya? \n\nGua kalo jadi lu kaga bangga belajar 2 mapel doang asu.'
2,USER pisang apaan asw gede bgt//'
2,USER SAMA ANJIR. menurut gue udah bener banget tapi ternyata zonk?!?!'
2,"USER Sumpah ya paling gasuka sama orang norak gini. \nKalau pengen berisik, sewa aja tuh satu studio! Gatau diri. Udik ew'"
2,USER Tak perlu dibajak. Bacot elu babi. Mending kita gelut saja'
2,USER Tolol lu njink'
2,USER USER USER USER Terlalu biasaaa andaa. Dasaaaar bolot puser lukaku'
2,USER Ngambang kaya tai jir'
2,USER USER bodo amat akun capek'
1,"USER WKWKW kadang suka bingung sama rangorang yg bikin perjanjian sama iblis, kok tanggung gitu. Kenapa ga bikin perjanjian yang memperkaya diri tapi juga sekalian buat kemaslahatan umat dah. Kan sebaik2nya hidup adala yang bermanfaat untuk orang lain~'"
2,"USER Dunia kan penuh munafiqun sok suci seperti ente.\nKalo semisal itu Ahok, pasti lo bilang KALAU GAK SALAH KENAPA KABUR?\nTapi karena itu si cabul adalah si jijik, ente jilat memek sendiri... ente bohongi diri sendiri.. ente gak nanya kenapa kabur kalau gak salah.\nMEMEK BOSOK!'"
1,"USER Haiii aviaa maap baru liat mensyennya, maap udik banget gw lama gak buka twitter gini kwkwkwkwk. Apakabsss lo??'"
2,USER USER Sama aja ku ber2 kunyuk'
2,USER iya kampungan... alay mah kalo nonton bola ke singapore sama johor malaysia URL
2,USER Banci kampungan HEEEE!!!'
2,USER Jokowi tai asu'
2,USER USER Setelah mengantar anak skolah liat2 dunia maya eh kok ada kalimat yg pas utk gembel warnet mknya lgs aq cc in biar gak lupa\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'
2,"USER Hahahahahah babi migraine aku plak tweet, caring betul dkt babi. Ye lahh hg reply tweet aku lepas keluarkan brim td ni. Good timing'"
2,"USER manusia2 tolol semua pada takut Ahok keluar, kasian bangat hidup kalian disana, bengitu idiot and stupid.'"
2,USER USER USER USER Muke lu mirip monyet'
2,USER Apakkk kau babi \xf0\x9f\x96\x95\xf0\x9f\x98\x91'
2,USER Wah brengsek nih. Ketauan yg punya bisa mampus aku. :(('
2,"USER Tu pisang bule Mn ko gak neko "" pkai profil kontol Mr Mr bule ya ? Q mau kontol km cyg'"
2,USER USER USER Yg bego USER nusantara'
2,USER Kapal kita karam:((( monyet kasihan patah hati:(('
1,USER Pembiakan kumpulan maki hamun dan buli dalam twitter\n\nAwak suka ke banyak anjing liar berkeliaran dan banyak lagi kawan2 awak menyertai #BangsaAnjing\n\nIni adalah Anjing &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'
2,"USER Victor baru sekali berkoar aj kalian udh kyk kbakaran jenggot!!\ngmn klu Viktor berulang kali berkoar di sana-sini, di masjid, di jalanan sperti si banci USER guru besar kalian?? apa lgi Viktor chat mesum...pasti kalian bkin rusuh sedunia\nDASAR MUNUSIA MUNAFIK!!!'"
2,"USER Aadren mengerti apa yang dirasakan puan itu. Pasti sangat menyakitkan. Apalagi melihat kekasihnya bersama orang lain. \n\n""Kau harus tegar. Kau tak boleh menangisi seorang bajingan yang tak sepantasnya kau tangisi.""'"
2,"USER USER Dari seteru ayah anak, mau nembak meleset, eh kakaknya juga diincar. Sinting kan. \xf0\x9f\x98\x85'"
2,"USER heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 35'"
1,"USER Sore Kak Saiful, boleh di restart dulu modem sama STB nya ya. Soalnya mimin cek jaringannya terkoneksi cuma sedikit melambat. Ditunggu kabar baiknya. Thx -Ardil'"
2,USER bodo anjir ngapa uangnya kek gitu si wkwkw'
2,USER Karna lu jbjbnya udah siang coba tdi pagi pasti masih pagi yakan? Tolong jangan goblok tang wkwk'
1,USER gua mendadak budek'
2,"USER Ga mau ah, pak rt nya bolot :('"
2,USER udik bener kasian. mau ditidurin?'
2,USER tai apa yg terakir'
2,"USER USER Udah minta maaf kunyuk USER bro.\n\nEnak bgt rasan mereka....sebar hoax, minta maaf....sebar hoax lagi, minta maaf lagi.\n\nMesti d sapu dulu USER biar jera nih orang.... URL"
2,"USER USER Udah tau bego gak belajar, jadi mau ngatain goblog. GOBLOG LU!'"
2,"USER USER tai kucing lo ahh, pengecut!!'"
2,USER USER USER jual memek kok di sosmed dasar pecun!'
2,USER Bolot siapa ? Anda ? Wah memang'
2,"USER USER Yang bijak cuma petugas dan jajaran krl doang, para penumpang cuma followers doang \xe2\x98\xb9\xef\xb8\x8f nyuruh orng utk mengerti, sendirinya ga mau mengerti kebutuhan banyak orng. Kan bangke..'"
2,USER Jenggot bajingan!'
2,USER mampus lu kunyuk'
2,"USER Agamanya sempurna, ummatnha banyak yg pinter kok. Kenapa yg goblok terus yg berani bicara.. hadeh!'"
2,USER USER USER USER Ga penting ngpain lu komen. Kan tolol \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2,USER USER USER USER Ketololan yg haqq ditampilkan bong200.. kalah nyolot. Tolol yg ga bisa diobati.. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
